ANIO;TEMPORADA;OBRA;OBRA_OBSERVACION;ASISTENTES;FECHA;HORA;OBSERVACIONES_FECHA
2012;TEMPORADA LIRICA;"TERCER TITULO ""EDIPO""";EDIPO;2464;29/05/2012; 20:30 hs;GA 
2012;TEMPORADA LIRICA;"TERCER TITULO ""EDIPO""";EDIPO;2533;01/06/2012; 20:30 hs;ANT
2012;TEMPORADA LIRICA;"TERCER TITULO ""EDIPO""";EDIPO;2600;03/06/2012; 17:00 hs;AV 
2012;TEMPORADA LIRICA;"TERCER TITULO ""EDIPO""";EDIPO;2619;05/06/2012;20:30 hs;ANN 
2012;TEMPORADA LIRICA;"CUARTO TITULO "" RINALDO""";RINALDO;1867;12/06/2012; 20:30 hs;GA 
2012;TEMPORADA LIRICA;"CUARTO TITULO "" RINALDO""";RINALDO;2181;15/06/2012; 20:30 hs;ANT 
2012;TEMPORADA LIRICA;"CUARTO TITULO "" RINALDO""";RINALDO;2141;17/06/2012; 17:00 hs;AV
2012;TEMPORADA LIRICA;"CUARTO TITULO "" RINALDO""";RINALDO;2187;19/06/2012; 20:30 hs;ANN
2012;TEMPORADA LIRICA;"QUINTO TITULO "" ERWARTUNG"" Y "" HAGITH""";ERWARTUNG Y HAGITH;2090;22/07/2012; 17:00 hs;AV 
2012;TEMPORADA LIRICA;"QUINTO TITULO "" ERWARTUNG"" Y "" HAGITH""";ERWARTUNG Y HAGITH;1900;24/07/2012;20:30 hs;GA 
2012;TEMPORADA LIRICA;"QUINTO TITULO "" ERWARTUNG"" Y "" HAGITH""";ERWARTUNG Y HAGITH;2079;26/07/2012;20:30 hs;AN 
2012;TEMPORADA LIRICA;"QUINTO TITULO "" ERWARTUNG"" Y "" HAGITH""";ERWARTUNG Y HAGITH;2105;28/07/2012; 20:30 hs;ANN
2012;TEMPORADA LIRICA;"SEXTO TITULO "" I DUE FIGARO"""; I DUE FIGARO;2147;28/08/2012; 20:30 hs;GA 
2012;TEMPORADA LIRICA;"SEXTO TITULO "" I DUE FIGARO"""; I DUE FIGARO;2171;30/08/2012; 20:30 hs;AN 
2012;TEMPORADA LIRICA;"SEXTO TITULO "" I DUE FIGARO"""; I DUE FIGARO;2203;01/09/2012;20:30 hs;ANN
2012;TEMPORADA LIRICA;"SEXTO TITULO "" I DUE FIGARO"""; I DUE FIGARO;2228;02/09/2012;17:00 hs;AV 
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA;2199;25/09/2012; 20:30 hs;GA 
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA;2456;28/09/2012; 20:30 hs;AN
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA;2374;30/09/2012; 17:00 hs;AV 
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA;2452;03/10/2012; 20:30 hs;ANN
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA   (BANCO CIUDAD);2615;05/10/2012; 20:30 hs;EXT
2012;TEMPORADA LIRICA;"SEPTIMO TITULO "" LA CENERENTOLA"""; LA CENERENTOLA/EXTRAORDINARIA;2530;07/10/2012; 20:30 hs;EXT
2012;TEMPORADA LIRICA;"OCTAVO TITULO "" EL ANILLO DE NIBELUNGO""";EL ANILLO DEL NIBELUNGO;1851;27/11/2012; 14:30 hs;
2012;TEMPORADA LIRICA;"OCTAVO TITULO "" EL ANILLO DE NIBELUNGO""";EL ANILLO DEL NIBELUNGO;1875;30/11/2012; 14:30 hs;
2012;TEMPORADA LIRICA;"OCTAVO TITULO "" EL ANILLO DE NIBELUNGO""";CANCELADA;;2012;S/D;
2012;TEMPORADA LIRICA;"OCTAVO TITULO "" EL ANILLO DE NIBELUNGO""";CANCELADA;;2012;S/D;
2012;BALLET;"PRIMER PROGRAMA "" CARMEN""";CARMEN;2353;01/04/2012;17:00 hs;AV 
2012;BALLET;"PRIMER PROGRAMA "" CARMEN""";CARMEN;2090;03/04/2012;20:30 hs;AN
2012;BALLET;"PRIMER PROGRAMA "" CARMEN""";CARMEN;2111;04/04/2012; 20:30 hs;
2012;BALLET;"PRIMER PROGRAMA "" CARMEN""";CARMEN;2371;07/04/2012; 20:30 hs;
2012;BALLET;"PRIMER PROGRAMA "" CARMEN""";CARMEN;2297;08/04/2012; 17:00 hs;
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE;1834;03/07/2012; 20:30 hs;AN 
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE;1192;04/07/2012; 20:30 hs;
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE;1443;05/07/2012; 20:30 hs;
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE  (BANCO CIUDAD);2645;06/07/2012; 20:30 hs;
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE;2093;07/07/2012; 20:30 hs;
2012;BALLET;"SEGUNDO PROGRAMA ""LA SYLPHIDE""";LA SYLPHIDE;2395;08/07/2012; 17:00 hs;AV 
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE;1954;07/08/2012; 20:30 hs;
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE  (POLICIA METROPOLITANA);2253;08/08/2012; 20:30 hs;
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE;2106;09/08/2012; 20:30 hs;
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE;2258;10/08/2012; 20:30 hs;
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE;2338;11/08/2012; 20:30 hs;
2012;BALLET;"TERCER PROGRAMA "" LA BELLA DURMIENTE""";LA BELLA DURMIENTE;2465;12/08/2012;20:30 hs;AV
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II;1683;14/10/2012;20:30 hs;AV
2012;BALLET;"CUARTO PROGRAMA "" TRILOGIA NEOCLISICA II""";TRILOGIA NEOCLISICA II;1513;16/10/2012;20:30 hs;AN
