medicion;fecha;med_id_bolsa;comuna;direccion_contenedor;latitud;longitud;peso_neto_kg;origen;clasificacion;1_s1;2_s1;3_s1;4_s1;5_s1;6_s1;7_s2;8_s2;9_s2;10_s2;11_s2;12_s3;13_s3;14_s3;suma
2022-M3;2022-12-22;22m3-1351;13;11 De Septiembre De 1888 2984;-345503987;-58,45805137;2.64;Residencial;No Separa;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2
2022-M3;2022-12-22;22m3-1353;13;Grecia 3169;-3454990375;-58,46104258;1.435;Residencial;No Separa;0;0;0;1;1;0;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-26;22m3-1365;14;Charcas 3687;-3458800173;-58,41673276;2.105;Residencial;No Separa;1;0;0;0;0;0;0;2;0;0;0;0;0;0;3
2022-M3;2022-12-26;22m3-1313;2;Larrea 1441;-3459027382;-58,39866045;1.44;Residencial;No Separa;0;0;1;0;0;0;0;0;1;0;0;0;1;2;5
2022-M3;2022-11-23;22m3-1018;3;Pichincha 519;-3461525954;-58,399347;4.57;Residencial;No Separa;0;0;2;0;1;0;0;0;1;4;0;0;2;0;10
2022-M3;2022-11-23;22m3-1015;3;Chile 1846;-3461692047;-58,39262772;4.545;Residencial;No Separa;0;0;1;0;0;0;1;0;1;3;0;0;1;0;7
2022-M3;2022-11-23;22m3-1006;3;Jujuy Av. 45;-3461066818;-58,40599823;6.525;Residencial;No Separa;2;0;0;0;1;0;0;4;0;4;0;0;0;0;11
2022-M3;2022-11-24;22m3-1025;3;Estados Unidos 2436;-3461957494;-58,400348;2.3;Residencial;No Separa;0;0;1;0;0;0;1;0;0;4;0;0;1;4;11
2022-M3;2022-11-24;22m3-1039;4;Colonia Av. 379;-346393227;-58,39724672;6.13;Residencial;No Separa;1;0;1;0;3;0;0;0;0;0;0;0;0;0;5
2022-M3;2022-11-25;22m3-1066;4;Cachi 789;-3465092763;-58,4111938;4.07;Residencial;No Separa;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2
2022-M3;2022-11-25;22m3-1057;4;Vieytes 1170;-3464574051;-58,37845993;3.8;Residencial;No Separa;1;0;1;0;0;1;0;0;0;0;0;0;0;0;3
2022-M3;2022-11-29;22m3-2091;9;Pizarro 7096;-3465525818;-58,51436996;2.49;Residencial;No Separa;1;0;1;0;0;4;0;0;0;1;0;0;2;0;9
2022-M3;2022-11-29;22m3-1071;4;Janer, Ana Maria 1842;-3464564896;-58,43359756;0.64;Residencial;No Separa;1;0;2;0;0;0;0;0;0;0;2;1;0;0;6
2022-M3;2022-12-01;22m3-1127;11;Nogoya 4938;-3461545944;-58,51301956;0.809;Residencial;No Separa;0;0;0;0;0;0;0;0;1;0;0;1;0;0;2
2022-M3;2022-12-01;22m3-1139;11;Terrada 2031;-3461045837;-58,48038864;2.935;Residencial;No Separa;0;0;1;0;0;0;0;0;0;0;0;0;0;1;2
2022-M3;2022-12-01;22m3-1120;11;Sastre, Marcos 2958;-3460390091;-58,4888382;3.58;Residencial;Separa;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2022-M3;2022-12-01;22m3-1126;11;Mistral, Gabriela 4363;-3459801102;-58,51908875;0.074;Residencial;No Separa;2;0;0;0;0;0;0;1;0;0;0;0;0;1;4
2022-M3;2022-12-02;22m3-1145;12;Machain 4650;-3455057144;-58,4930687;1.43;Residencial;No Separa;0;0;1;0;0;0;0;0;0;1;0;0;0;0;2
2022-M3;2022-12-02;22m3-1149;12;Ladines 3042;-3458475876;-58,50606155;0.8;NA;No Separa;0;0;1;0;0;1;0;0;0;0;0;0;0;1;3
2022-M3;2022-12-02;22m3-1148;12;Condarco 5520;-3457825851;-58,50593948;1.32;Residencial;Separa;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1
2022-M3;2022-12-02;22m3-1155;12;Andonaegui 3146;-3457019043;-58,4948082;2.235;Residencial;No Separa;3;0;0;0;0;0;0;1;0;0;0;0;0;0;4
2022-M3;2022-12-06;22m3-1173;15;Andonaegui 1547;-34583729;-58,48162881;1.065;Residencial;No Separa;0;0;2;0;0;0;0;3;0;1;0;0;0;0;6
2022-M3;2022-12-06;22m3-1186;15;Rojas 1450;-346047287;-58,44944;0.945;Residencial;No Separa;1;0;0;1;0;0;0;0;0;0;0;0;0;0;2
2022-M3;2022-12-06;22m3-1177;15;Lamas, Andres 2460;-3460282929;-58,4734337;1.085;Residencial;No Separa;1;0;0;0;0;0;1;0;0;0;0;0;1;3;6
2022-M3;2022-12-12;22m3-1265;1;Saenz Pe A, Luis, Pres. 966;-346193002;-58,3872341;1.6;Residencial;No Separa;2;0;1;0;0;0;0;1;0;0;0;0;0;1;5
2022-M3;2022-12-15;22m3-1228;6;Guayaquil 51;-346195488;-58,42930984;2.23;Residencial;No Separa;0;0;2;0;0;0;0;0;0;0;1;0;0;0;3
2022-M3;2022-12-15;22m3-1226;6;Doblas 842;-3462668991;-58,42977905;1.715;Residencial;No Separa;1;0;2;0;1;0;0;1;0;2;1;0;4;2;14
2022-M3;2022-12-15;22m3-1205;5;Humberto 1  3377;-346241684;-58,41333008;1.21;Residencial;No Separa;2;0;0;0;1;0;0;0;1;2;0;0;3;0;9
2022-M3;2022-12-15;22m3-1191;5;Don Bosco 4148;-346134503;-58,42402224;1.785;Residencial;No Separa;0;1;1;0;0;2;0;1;1;0;0;0;0;0;6
2022-M3;2022-12-15;22m3-1208;5;Tarija 3358;-34627676;-58,4129969;1.38;Residencial;No Separa;0;1;1;0;0;0;0;1;0;0;0;0;1;0;4
2022-M3;2022-12-15;22m3-1201;5;Gascon 557;-3460531998;-58,42446899;1.565;Residencial;No Separa;2;0;1;0;0;0;0;1;1;0;0;0;1;1;7
2022-M3;2022-12-15;22m3-1198;5;Sarmiento 3555;-346048715;-58,4152888;1.475;Residencial;No Separa;2;0;0;0;0;0;0;2;0;2;0;0;0;0;6
2022-M3;2022-12-15;22m3-1204;5;Castro Barros 1047;-3462462997;-58,41899872;0.955;Residencial;No Separa;2;0;0;0;0;0;0;1;0;1;0;0;2;0;6
2022-M3;2022-12-15;22m3-1194;5;Moreno 3681;-34613739;-58,418257;2.315;Residencial;No Separa;0;0;2;0;4;0;0;1;1;0;0;2;1;0;11
2022-M3;2022-12-16;22m3-1294;1;Talcahuano 1292;-3459354019;-58,38607025;1.69;Residencial;No Separa;2;0;0;0;0;0;0;0;0;0;0;2;1;0;5
2022-M3;2022-12-22;22m3-1355;13;Larralde, Crisologo Av. 1651;-3454499161;-58,46102244;2.21;Residencial;No Separa;2;0;0;0;0;1;0;0;0;0;0;0;0;4;7
2022-M3;2022-12-22;22m3-1350;13;Ibera 2175;-3455219781;-58,46261388;1.175;Residencial;No Separa;0;0;0;2;0;0;0;0;0;0;1;0;0;0;3
2022-M3;2022-12-22;22m3-1335;13;O'higgins 2236;-3455841721;-58,45408139;4.585;Residencial;No Separa;2;0;0;0;0;0;0;4;1;0;0;0;1;0;8
2022-M3;2022-12-26;22m3-1364;14;Salguero, Jeronimo 1455;-345930199;-58,41795199;1.54;Residencial;No Separa;2;0;0;0;0;2;0;0;0;0;1;1;0;0;6
2022-M3;2022-12-26;22m3-2308;2;Paraguay 2060;-3459866115;-58,39661718;1.185;NA;No Separa;1;0;0;0;0;1;1;0;0;0;2;0;0;1;6
2022-M3;2022-12-26;22m3-1400;8;Barros Pazos, Jose 3530;-346618309;-58,44947815;1.966;Residencial;No Separa;2;0;0;0;0;0;0;1;1;1;0;0;0;0;5
2022-M3;2022-12-26;22m3-1391;8;Larrazabal 3050;-3466690898;-58,48324199;1.866;Residencial;No Separa;0;0;4;0;0;1;0;0;0;1;0;0;0;1;7
2022-M3;2022-12-26;22m3-1402;8;Bonorino, Esteban, Cnel. Av. 3410;-3465620041;-58,42564292;2.99;Residencial;No Separa;2;0;0;0;0;2;0;2;0;0;0;0;0;1;7
2022-M3;2022-12-26;22m3-1392;8;Santander 5435;-3466833878;-58,4805603;1.385;Residencial;No Separa;0;0;3;0;0;0;0;0;0;1;1;1;2;0;8
2022-M3;2022-12-26;22m3-1304;2;Lopez, Vicente 1757;-3459101782;-58,39051248;1.785;Residencial;No Separa;0;2;0;0;0;0;0;2;0;0;0;0;2;2;8
2022-M3;2022-12-26;22m3-1307;2;Paraguay 1854;-3459856143;-58,39386255;1.275;NA;No Separa;2;0;1;0;0;1;0;1;0;0;0;0;0;2;7
2022-M3;2022-11-23;22m3-1009;3;Mitre, Bartolome 2480;-3460852814;-58,40147018;8.765;NA;No Separa;1;0;2;0;0;0;0;0;1;1;2;0;0;0;7
2022-M3;2022-11-23;22m3-2004;3;Cordoba Av. 2062;-345997774;-58,396552;5.94;Residencial;No Separa;0;0;1;2;0;0;0;0;1;0;0;0;0;0;4
2022-M3;2022-11-24;22m3-1033;3;Garay, Juan De Av. 1999;-3462727737;-58,39260864;3.28;Residencial;No Separa;1;0;1;0;0;0;0;1;0;1;0;2;0;0;6
2022-M3;2022-11-25;22m3-1070;4;Taborda, Diogenes 1504;-346566391;-58,40725708;5.67;Residencial;No Separa;2;0;1;0;0;0;0;1;0;2;0;0;0;0;6
2022-M3;2022-11-25;22m3-1049;4;Arata, Pedro N. 1524;-3465155;-58,39303;5.71;Residencial;No Separa;0;1;0;0;0;0;0;2;0;0;0;0;0;0;3
