nombre_evento,tipo_evento,fecha_inicio,fecha_finalizacion
Jornadas Profesionales para Ilustradores,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
Jornada de Derecho de Autor en el Mundo Editorial,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
14ª Jornadas de Filosofía Medieval,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-26
4ª Jornadas de Edición Universitaria,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-25
MindCare 2019 - 9th EAI International Conference on Pervasive Computing Paradigms for Mental Health  9° Congreso Internacional Nuevas Tecnologías en Salud Mental,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-24
1ª Jornadas de Formación Docente,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-24
Jornada Laboratorio de la Agenda Emergente,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-23
Segurinfo Argentina 2019,CONGRESOS Y CONVENCIONES,2019-04-23,2019-04-23
5ª Jornadas de Traducción en el Ámbito Editorial,CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-26
"8º Congreso Latinoamericano IFSOLAC  8º Congreso Latinoamericano de Cirugía de la Federación Internacional de Cirugía de la Obesidad  8 Latin American Congress of the International Federation of Surgery of Obesity IFSO   (IFSOLAC Sociedad Arg de Cirugía de la Obesidad, Enfermedad Metabólica y otra relacionadas con la obesidad. Cirugía bariátrica)",CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-26
ExpoEventos 2019,FERIAS Y EXPOSICIONES,2019-04-24,2019-04-26
Conferencia Usuarios GIS 2019,CONGRESOS Y CONVENCIONES,2019-04-24,2019-04-25
Smart City Congreso y Expo Buenos Aires,FERIAS Y EXPOSICIONES,2019-04-24,2019-04-25
45ª Feria Internacional del Libro,FERIAS Y EXPOSICIONES,2019-04-25,2019-05-13
Conferencia Internacional sobre el Ritmo en el Arte 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
Jornada AAPPG 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
4ª Jornadas Internacionales de Medicina Materno-Fetal y Nuevas Tecnologías,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-27
I Encuentro de ILERA de las Américas,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
I Conferencia Internacional sobre el Ritmo en el Arte 2019,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
11º Curso Internacional de Otoño AGA-SAGE,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-26
Foro Ambiental sobre Energías Limpias,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
3º Foro Internacional de Expertos en Turismo de Reuniones,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
5° Encuentro RSEvial,CONGRESOS Y CONVENCIONES,2019-04-25,2019-04-25
Jornadas Internacionales de Educación,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-27
2º Simposio Argentino de Cardio-Oncología,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-27
Jornada de Ciberseguridad,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
Simposio Arte y cultura en los Antiguos Pueblos de América,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
1º Congreso Latinoamericano de Periodismo Móvil,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
Encuentro Latinoamericano de la AIAF Asociación Internacional de Abogados del Fútbol,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
2° Simposio Internacional de Actualización en Patología Hipofisaria,CONGRESOS Y CONVENCIONES,2019-04-26,2019-04-26
